ID_ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CABECERA_DISTRITAL_LOCAL,MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,993,1,10,62,38,2,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,145,362
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,994,2,10,46,237,4,20,0,1,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,42,0,398,1042
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,995,1,1,13,122,2,1,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,2,0,170,296
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,996,2,16,123,119,9,11,0,9,35,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,330,22,0,352,795
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,997,1,1,11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,0,71,126
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,998,2,5,20,259,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,5,0,292,583
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,999,1,2,43,15,0,1,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,7,0,84,249
12,GUERRERO,17,COYUCA DE CATALAN,22,COYUCA DE CATALAN,1000,2,16,151,37,12,6,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,253,11,0,264,599
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1001,2,22,82,18,13,5,16,4,429,4,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,612,0,25,637,1074
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1002,2,12,132,17,23,3,6,2,380,5,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,598,0,29,627,978
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1003,2,37,231,11,32,2,4,5,567,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,894,0,18,912,1390
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1004,2,38,98,11,17,4,7,2,396,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,597,0,23,620,961
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1005,2,24,101,7,22,3,10,3,325,3,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,507,0,22,529,816
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1006,3,23,91,12,66,5,15,17,396,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,636,0,15,651,939
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1007,2,19,93,20,20,0,10,2,355,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,0,0,543,0,15,558,864
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1008,1,26,73,15,16,1,8,1,269,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,422,0,14,436,688
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1009,1,14,45,0,1,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,125,0,2,127,177
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1010,1,42,57,6,16,0,1,1,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,0,0,313,0,10,323,513
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1011,1,3,39,7,1,2,0,3,64,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,9,132,175
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1012,1,19,150,1,16,2,4,0,176,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,375,0,11,386,521
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1013,2,24,97,31,2,9,5,3,351,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,535,0,15,550,780
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1014,2,38,152,19,6,8,13,3,427,2,8,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,688,0,22,710,1197
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1015,1,6,74,7,4,1,7,0,202,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,309,0,10,319,492
12,GUERRERO,15,SAN LUIS ACATLAN,23,CUAJINICUILAPA,1016,1,22,60,2,8,3,5,4,220,5,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,2,0,0,342,1,14,357,493
